id,url,title,content
14,https://ent.sina.com.cn/tv/zy/2023-01-21/doc-imyayitf5327800.shtml,嗑到了！邓超孙俪“情头”表情包好甜,　　新浪娱乐讯 2023央视兔年春晚正在进行中。邓超不负众望，又凭借过于激动和欢乐的舞台表现出了圈，引发网友热议。　　在被邓超欢乐表现感染同时，也有细心网友发现，邓超一个手指竖在嘴边比“嘘”的动作，像极了老婆孙俪饰演的角色甄嬛的经典动作。网友笑称：“嗑到了！这是真‘情头’吧！”(责编：哈哈大王)
15,http://slide.ent.sina.com.cn/z/v/slide_4_704_380907.html,组图：衣服被吐槽像双开门冰箱？岳云鹏回应：有点哈哈哈哈_高清图集_新浪网,组图：衣服被吐槽像双开门冰箱？岳云鹏回应：有点哈哈哈哈_高清图集_新浪网
16,https://ent.sina.com.cn/tv/zy/2023-01-21/doc-imyaycmc1484464.shtml,蹭饭来的？网友调侃：张若昀也太能吃了吧,　　新浪娱乐讯 2023央视兔年春晚正在进行中。表演完开场曲，多位艺人落座观众席观看春晚。　　在节目互动环节，张若昀等人分到了烧鸡吃。其他艺人吃相都非常“矜持”，而镜头转向张若昀时，只见他拿到鸡肉时便已笑得合不拢嘴，紧接着手捧大块鸡肉大口大口吃得十分香。　　难怪有网友调侃：“别人是来参加节目的，张若昀是真的来蹭饭的啊！”(责编：哈哈大王)
17,https://ent.sina.com.cn/tv/zy/2023-01-21/doc-imyayisz1355656.shtml,一跑就切广角？孙俪笑称：春晚导演有经验了,　　新浪娱乐讯 2023央视兔年春晚正在进行中。去年邓超第一次登上央视春晚舞台。在合唱节目中，他就因为过于兴奋，表现得过于活泼而引发网友热议，就连妻子孙俪也在看完节目后发微博调侃他：都跳出镜头了！　　今年邓超依旧在春晚有歌曲节目，妻子孙俪也早早守在电视机前关注老公表现。果不其然，超哥表现依旧欢脱，跑来跳去。不但被网友调侃：那兴奋劲儿，超哥依旧是春晚最快乐的人！孙俪也特意再发微博笑称：今年导演有经验了，超哥一助跑，赶紧切广角！(责编：哈哈大王)
18,https://ent.sina.com.cn/tv/zy/2023-01-21/doc-imyaypzf2010130.shtml,周深被门夹了？春晚舞台碰到门变成了“闪”,　　新浪娱乐讯 2023央视兔年春晚正在进行中，歌手周深献上深情歌曲。表演结束后，有网友表示在朋友圈看到有人说周深在舞台上被门夹了。究其原因，原来是周深演唱时，歌词字幕围着周深显现，其中“门”字正好卡在了他的头上，似是被门“夹”到了。如此调侃一出，有网友笑称：“夺笋啊！周深演个出可太不容易了！”(责编：哈哈大王)
19,http://slide.ent.sina.com.cn/z/v/slide_4_86512_380925.html,组图：当《左耳》遇见春晚！饶雪漫发博纪念《左耳》主创齐聚春晚_高清图集_新浪网,组图：当《左耳》遇见春晚！饶雪漫发博纪念《左耳》主创齐聚春晚_高清图集_新浪网
20,https://ent.sina.com.cn/m/c/2022-11-12/doc-imqqsmrp5940584.shtml,朱一龙首夺金鸡奖最佳男主角 《长津湖》成大赢家,　　新浪娱乐讯 11月12日晚，第35届中国电影金鸡奖在厦门落幕，获奖名单正式揭晓。《长津湖》获最佳故事片、最佳导演两项大奖，朱一龙、奚美娟分获最佳男女主角。　　疫情进入第三年，中国电影行业经历了诸多前所未有的挑战，但创作者们对电影的热爱、对表达的渴望从未停止。金鸡奖作为一年一度的行业盛会，将数百位电影人齐聚在厦门，红毯星光璀璨，新片项目云集，使得电影界焕发出久违的生机和活力。　　今年的金鸡奖杯角逐格外激烈——最佳故事片方面，既有《长津湖》《我和我的父辈》《狙击手》这样票房口碑双收的主流大片，也有《爱情神话》《奇迹·笨小孩》《人生大事》类型各异、构思精巧的新生代导演佳作；演员之争在颁奖前已进入白热化状态，男主提名包揽了国内票房几大“扛把子”，女主被提名者年龄分布在50后到10后之间，横跨超半个世纪。　　自1981年创办至今，金鸡奖作为中国电影最具专业性、权威性的“专家奖”，无论获得提名还是奖项，对于每一位电影人来说都是一次珍贵的肯定。希望他们能将荣誉化作动力，未来为观众带来更多好作品。　　新晋影史票房冠军《长津湖》获最佳故事片、最佳导演奖　　近几年来金鸡奖稳定地落户厦门，不再是国内各个城市轮流申办的奥运会模式，奖项设置也随着电影产业的发展逐渐被修改完善（例如取消了‘最佳电视电影奖’，去年首次增设‘最佳外语片奖’）。在金鸡百花电影节的历史上，曾出现三部影片同时获得最佳影片的争议局面，而今金鸡奖的提名、评选规则愈发透明、专业，成为备受业界、学界、观众关注的电影奖项。　　以今年的最佳故事片提名来说，既有夺得国内影史票房冠军、代表着中国电影工业最高水准的现象级大片《长津湖》，也有突显导演个人风格的主流价值观电影《狙击手》《我和我的父辈》；《奇迹·笨小孩》是今年将社会效应和娱乐效应结合得最好的商业片之一，该片也将代表中国内地参加奥斯卡最佳外语片角逐。　　令人惊喜的是《人生大事》和《爱情神话》两部中低成本影片的入围，它们都是年轻导演拍出的第一部电影作品，金鸡提名对于他们来说无疑是一份重要的鼓励和肯定。《人生大事》以殡葬师为主角，《爱情神话》聚焦上海中年白领之间的情感故事，都是扎根中国本土的原创、现实主义题材，都兼具幽默、温暖、感动等情感力量，是未来国产电影值得深耕的方向之一，两片的票房成绩也证明了观众对这类作品的喜爱，　　最终，最佳故事片、最佳导演两项大奖均归属于总提名数领跑的《长津湖》，算是为这部制作规模空前的商业大片画上了一个圆满的句号。导演之一徐克在获奖感言中表示，从影这么多年，把《长津湖》这么重要的故事拍成电影，三个导演把各自的手法和风格融合，是很大的挑战，他们也付出了力量和热血完成这部电影。　　朱一龙击败众多强劲对手，奚美娟时隔31年再获影后　　在不少观众眼中，最佳男女主角将花落谁家是今年金鸡的最大看点。尤其最佳男主角候选者集齐了沈腾、吴京、徐峥、易烊千玺、朱一龙，他们之中有的是“百亿票房男演员”，有的是生猛的新生代青年演员，个个都有夺奖的绝对实力，堪称神仙打架、龙争虎斗。　　奖项揭晓，朱一龙以黑马之势夺得了这座含金量十足的奖杯，这是他第一次入围金鸡奖最佳男主角，首提即中，朱一龙直到去后台接受媒体访问时还有点幸福地发懵。　　在《人生大事》中，朱一龙回到家乡武汉拍戏，剃了青皮头，穿着花衬衫，脚踩趿拉板，一口地道的武汉方言，将一个接地气的殡葬师演绎得活灵活现，与他以往在荧屏中温文尔雅的形象相差巨大。或许正因为这样的反差感和惊喜感，助他在此次异常激烈的争夺中拔得头筹，证明了人气与实力可以兼具。　　朱一龙在领奖时说，“此刻就是我的人生大事，今年是我毕业的第12年，在这12年里，只要有机会，我就会去尝试，去拍电影。我们中国不缺乏好的演员，但是有时候缺的可能只是一个机会。”　　最佳女主角方面，今年的提名充分显示出了百花齐放的特点——有中国内地文艺片《漫长的告白》里温柔似水的女主倪妮，有中国香港传记片《梅艳芳》里万里挑一的新人演员王丹妮，有早在31年前就获得过金鸡奖的表演艺术家奚美娟，有演《人生大事》时年仅8岁的可爱小朋友杨恩又，也有讲述牧民生活的电影《黑帐篷》的藏族女演员杨秀措。　　67岁的奚美娟再次获得金鸡最佳女主角（上一次是凭借1990年上映的电影《假女真情》）。她在《妈妈！》中饰演了一个知书达理的老一代知识分子，患上阿尔茨海默症后，病情一点点恶化，出现情绪失控、失忆、识字障碍、小便失禁等症状，奚美娟通过细致入微的表演，将一个人的体面与不堪、幸福和遗憾都表现得淋漓尽致，生动感人。　　今年的北京国际电影节上，《妈妈！》的另一位女主角吴彦姝曾获最佳女主角，当时她就表示遗憾奚美娟没能一同获奖，如今两位戏骨都获得了应有的肯定。就像奚美娟今天说的，“我们在艺术创作中有无限的天地，角色可以给我们五光十色的生活，我们的年龄、生命可以一直往上走。我不认为在我这个年龄段创作力就会凋零，我想和同龄人一起加油，为表演艺术作出应有的贡献。”　　本届获奖名单类型风格多元，文艺佳片占据一席之地　　其他奖项方面，《奇迹·笨小孩》曾在今年百花奖上获得最佳导演、最佳新人，今日金鸡奖上获得最佳女配角奖（齐溪）；张艺谋去年曾凭借《悬崖之上》获得金鸡奖最佳导演，今年他的作品《狙击手》拿到了最佳录音、最佳摄影两个技术类奖项；开心麻花喜剧《独行月球》也遗憾只拿到最佳美术、最佳音乐两个技术类奖项。评委会特别奖被授予主流电影《我和我的父辈》。　　三十多年走来，每年金鸡奖的揭晓都伴随着非常高的大众关注度，其中也不乏一些批评和争议的声音。比如，有些奖项（如科教片/纪录片、儿童片、戏曲片）的提名影片大部分普通观众都看不到；有的时候奖项稍显偏重主流商业片，而对中小成本影片、艺术片鼓励不足；还有的时候奖项归属过于分散，有“分猪肉”之嫌。　　而就今年的金鸡奖结果来看，上述问题都得到了一定程度的改观。　　本届金鸡奖提名影片在题材、类型、风格上都比较多元，涵盖战争、爱情、悬疑、喜剧等不同类型，讲述战争年代的战士、当代青年创业者、中年白领、孤寡老人、旅居海外的华人……等不同个体的所思所想，被提名影片整体观众满意度也较高，《神探大战》《扬名立万》等具有一定观看门槛的“另类电影”的入围令影迷眼前一亮。最终的获奖名单也在商业和艺术等方面实现了较好的平衡。　　每年金鸡奖都是对一年来国产电影创作的一次总结，也是新一年、新努力的开始。对于刚刚结束一个多月“片荒”的电影市场来说，最近两天在金鸡影展官宣的一个个新片项目算是为低谷期的中国电影打满了一管鸡血。希望这些新片能够早日与观众见面，也希望未来的金鸡奖能越来越充满悬念、竞争越来越“白热化”，那说明中国电影会越来越好。　　附：2022年第35届中国电影金鸡奖获奖名单：　　最佳故事片奖：《长津湖》　　评委会特别奖：《我和我的父辈》　　最佳导演奖：陈凯歌、徐克、林超贤《长津湖》　　最佳编剧奖：邵艺辉《爱情神话》　　最佳男主角奖：朱一龙《人生大事》　　最佳女主角奖：奚美娟《妈妈！》　　最佳男配角：辛柏青（《漫长的告白》饰立春）　　最佳女配角：齐溪（《奇迹·笨小孩》饰汪春梅）　　最佳导演处女作：刘江江《人生大事》　　最佳剪辑：黄琼逸《爱情神话》　　最佳录音：杨江、赵楠《狙击手》　　最佳美术：李淼《独行月球》　　最佳音乐奖：彭飞《独行月球》　　最佳摄影奖：赵小丁《狙击手》　　最佳中小成本故事片：《漫长的告白》　　最佳美术片：《熊出没·重返地球》　　最佳纪录/科教片：《1950他们正年轻》　　最佳外语片：《漫漫寻子路》　　最佳儿童片：《再见土拨鼠》　　最佳戏曲片：《敦煌女儿》　　中国文联终身成就电影艺术家：王玉梅、黄蜀芹、王好为　　（何小沁/文）(责编：加缪)
21,https://ent.sina.com.cn/m/2022-11-13/doc-imqqsmrp5956949.shtml,朱一龙获金鸡奖影帝后晒拍立得 高举金鸡奖捧杯,　　新浪娱乐讯 第35届中国电影金鸡奖最佳男主角朱一龙凌晨晒出三张拍立得，高举金鸡奖杯合影，表示感谢。
22,https://ent.sina.com.cn/m/2022-11-13/doc-imqqsmrp5975785.shtml,成龙金鸡奖座位坏了 张涵予陈道明热情帮忙修椅子,　　[微博]新浪娱乐讯 11月12日，第35届中国电影金鸡奖颁奖典礼现场，成龙的座位椅子坏了，坐在两旁的张涵予和陈道明帮他修椅子。
23,https://ent.sina.com.cn/m/c/2022-11-12/doc-imqqsmrp5930184.shtml,金鸡奖奖项：朱一龙凭《人生大事》获最佳男主角,　　新浪娱乐讯 11月12日，第35届中国电影金鸡奖在厦门举行颁奖礼，朱一龙凭《人生大事》获最佳男主角。
